"country_id","country_year","country_code","country_name","country_region","country_continent","country_currency","country_capital","birth_rate_per_1000","human_capital_index","labor_force","population_00_14","population_15_64","population_65_up","population_growth_annual_percentage","total_population","suicide_mortality_rate_per_100_000","male_population","poverty_headcount_percentage_of_population","female_population","health_id","health_year","health_country_code","adults_15_plus_living_with_hiv","capital_health_expenditure_percentage_gdp","death_rate_per_100_000","diabetes_prevalence_percentage_population_age_20_to_79","diarrhea_treatment_percentage_children_under_5","hospital_beds_per_1000","immunization_bcg_percentage_1_year_old_children","immunization_dpt_percentage_12_to_23_month_children","immunization_hib3_percentage_12_to_23_month_children","immunization_hepb3_percentage_1_year_old_children","immunization_measles_percentage_12_to_23_month_children","incidence_of_hiv_per_1000_uninfected_population","prevalence_of_overweight_percentage_of_adults","prevalence_of_overweight_percentage_of_children_under_5","prevalence_of_stunting_height_for_age_percentage_of_children_un","prevalence_of_undernourishment_percentage_of_population","development_index"
126,2019,"NER","Niger","Western Africa","Africa","XOF","Niamey",45.637,0.31657156,8592795.0,11618568.0,11086839.0,605312.0,3.7942066,23310720.0,5.3,11714461.0,40.8,11596258.0,126,2019,"NER",28000.0,0.5310309,8.033,4.2,38.4,0.3375,70.0,81.0,81.0,81.0,79.0,0.05,19.358334,1.4,46.8,-1.0,"underdeveloped"
109,2018,"CAF","Central African Republic","Middle Africa","Africa","XAF","Bangui",35.348,0.2916319,1865485.0,2066939.0,2467575.0,131861.0,1.5191175,4666375.0,12.8,2312820.0,62.0,2353555.0,109,2018,"CAF",85000.0,0.20130682,12.289,3.2,42.25,1.1,74.0,47.0,47.0,47.0,49.0,-1.0,23.358335,1.0,41.0,46.7,"underdeveloped"
94,2019,"USA","United States","Northern America","North America","USD","Washington D.C.",11.4,0.71723896,166355630.0,60902964.0,214206000.0,53220990.0,0.45538127,328329950.0,16.1,162462620.0,-1.0,165867330.0,94,2019,"USA",1200000.0,0.677035,8.7,9.4,-1.0,2.9876924,-1.0,94.0,91.0,91.0,90.0,0.11,64.99167,8.257143,3.1,2.5,"developed"
76,2017,"MEX","Mexico","Central America","North America","MXN","Mexico City",17.918,0.607,54096292.0,33614044.0,82378000.0,8785285.0,1.1639669,124777330.0,5.9,61024504.0,42.9,63752824.0,76,2017,"MEX",300000.0,0.07024645,5.933,15.6,79.9,0.99,94.0,85.0,85.0,58.0,76.0,0.16,61.966663,6.66,12.5,6.1,"developing"
92,2017,"USA","United States","Northern America","North America","USD","Washington D.C.",11.8,0.762,163395310.0,61313250.0,213677100.0,50131772.0,0.632644,325122100.0,15.9,160859420.0,-1.0,164262690.0,92,2017,"USA",1100000.0,0.6714518,8.638,9.4,-1.0,2.87,-1.0,95.0,93.0,93.0,92.0,0.12,64.99167,8.257143,3.0,2.5,"developed"
30,2019,"IDN","Indonesia","South-Eastern Asia","Asia","IDR","Jakarta",17.746,0.52733934,136202240.0,70944820.0,183307090.0,16373666.0,1.0979264,270625570.0,2.4,136269760.0,9.4,134355800.0,30,2019,"IDN",520000.0,0.19167218,6.51,5.1,58.766666,0.8388889,90.0,85.0,85.0,85.0,88.0,0.11,23.866667,10.75,32.0,6.5,"developing"
3,2008,"IND","India","Southern Asia","Asia","INR","New Delhi",22.39,0.4727689,453478300.0,379864830.0,761335700.0,59469250.0,1.4648899,1200669800.0,15.1,624720960.0,25.849998,575948800.0,3,2008,"IND",-1.0,0.17476563,7.72,9.0,32.1,0.41,86.0,70.0,62.142857,29.0,72.0,0.1,15.6,1.9666667,46.6,16.6,"developing"
134,2011,"SSD","South Sudan","Eastern Africa","Africa","SSP","Juba",37.776,0.30481127,4120195.0,4267676.0,5232807.0,330212.0,3.333696,9830695.0,3.6,4914724.0,76.4,4915971.0,134,2011,"SSD",130000.0,0.44426802,11.669,-1.0,23.0,-1.0,75.0,61.0,44.2,44.2,62.0,1.4,-1.0,8.45,32.4,-1.0,"underdeveloped"
41,2014,"BRA","Brazil","South America","South America","BRL","Brasilia",14.624,0.5475435,97184940.0,46366980.0,140699020.0,15697744.0,0.855796,202763740.0,5.6,99855750.0,-1.0,102907990.0,41,2014,"BRA",-1.0,0.37300894,6.195,10.1,-1.0,2.22,99.0,93.0,95.0,96.0,97.0,0.24,55.3,6.4,6.1,2.6,"developing"
21,2010,"IDN","Indonesia","South-Eastern Asia","Asia","IDR","Jakarta",20.795,0.49636143,114596180.0,69716216.0,160116960.0,12001058.0,1.3377825,241834220.0,2.6,121820504.0,13.3,120013720.0,21,2010,"IDN",390000.0,0.09928948,6.653,5.1,58.766666,0.57,88.0,81.0,65.28571,83.0,78.0,0.2,23.4,12.3,35.7,13.0,"developing"
79,2020,"MEX","Mexico","Central America","North America","MXN","Mexico City",19.469332,0.61294985,53080124.0,33310120.0,85800400.0,9822231.0,1.05824,128932750.0,4.9666667,63071490.0,43.9,65861268.0,79,2020,"MEX",340000.0,0.11072538,5.4554667,15.6,79.9,1.0235714,96.066666,92.066666,92.066666,85.73333,93.13333,0.16,61.966663,6.66,12.1,5.0400004,"developing"
34,2007,"BRA","Brazil","South America","South America","BRL","Brasilia",16.306,0.5475435,91126140.0,50050596.0,128068770.0,12011084.0,1.0378647,190130450.0,4.9,93900510.0,-1.0,96229940.0,34,2007,"BRA",-1.0,0.7821679,6.016,10.1,-1.0,2.47,99.0,99.0,98.0,99.0,99.0,0.25,50.8,6.4,7.1,5.6,"developing"
2,2007,"IND","India","Southern Asia","Asia","INR","New Delhi",22.996,0.4727689,451318660.0,378748580.0,746636000.0,57824836.0,1.509222,1183209500.0,15.3,615629500.0,25.849998,567579970.0,2,2007,"IND",-1.0,0.18110792,7.839,9.0,32.1,0.41,87.0,64.0,62.142857,6.0,70.0,0.11,15.1,1.9666667,47.3,17.5,"developing"
128,2005,"SSD","South Sudan","Eastern Africa","Africa","SSP","Juba",40.389,0.30481127,3118478.0,3336300.0,3958371.0,241260.0,4.374835,7535931.0,3.9,3759857.0,76.4,3776074.0,128,2005,"SSD",100000.0,0.44426802,14.055,-1.0,23.0,-1.0,57.333332,51.444443,44.2,44.2,54.11111,1.51,-1.0,8.45,35.6,-1.0,"underdeveloped"
116,2009,"NER","Niger","Western Africa","Africa","XOF","Niamey",50.217,0.31657156,6298974.0,7917500.0,7530581.0,395050.0,3.8096662,15843131.0,5.3,7911177.0,40.8,7931954.0,116,2009,"NER",32000.0,0.3103279,11.901,4.2,38.4,0.3375,86.0,71.0,71.0,71.0,69.0,0.13,18.6,0.2,49.5,-1.0,"underdeveloped"
56,2013,"CAN","Canada","Northern America","North America","CAD","Ottawa",10.8,0.7926785,19546552.0,5671952.0,24077744.0,5333257.0,1.0565913,35082950.0,12.1,17399108.0,-1.0,17683848.0,56,2013,"CAN",-1.0,0.48322916,7.2,8.4,-1.0,2.72,-1.0,91.0,91.0,55.0,90.0,-1.0,62.7,-1.0,-1.0,2.5,"developed"
